Sr. No,Course Number,Course Name,L-T-P-C,Faculty Name,Courses Slot,Lab Courses Slot
28,CE-504,Slope Stability and Retaining Structures,2-1-0-3,Mousumi,E,
29,CE-509,Bridge Engineering,3-0-0-3,Shivang,H,
30,CE-513,Advanced Foundation Engineering,3-0-0-3,Ashutosh,G,
31,CE-515,Environmental Impact Assessment,3-0-0-3,Anand,G,
32,CE-516,Uncertainty Analysis in Civil Engineering,3-0-0-3,Shashank,F,
33,CE-517,Hydroinformatics,3-0-0-3,Vivek,C,
34,CE-519,Chemistry of Natural Waters,3-0-0-3,Harshad,E,
35,CE-526,Critical Zone Science,2-1-0-3,Aliva,B,
36,CE-527,Advanced Pavement Engineering,3-0-0-3,Surya,D,
37,CE-552,Concrete Technology,3-0-0-3,KS,C,
38,CE-554,Prestressed Concrete Structures,3-0-0-3,Mong,B,
39,CE-560,Soil Dynamics,3-0-0-3,Prasanna,B,
40,CE-561,Science of Climate Change,3-0-0-3,Sayantan,F,
41,CE-586P,Mini Project,0-0-6-3,Subhamoy (FA),NS,
42,CE-610,Analysis and Design for Earthquake Resistant Structures,3-0-0-3,"Sandip(CI),Shasha nk",D,
43,CE-611,Structural Health Monitoring,3-0-0-3,Subhamoy,E,
44,CE-689P,Post Graduate Project – II,0-0-30-15,Shivang (FA),NS,
45,CS-302,Paradigms of Programming,4,"Varumkumar
Jayapaul",A,L3
46,CS-303,Software Engineering,3-0-0-3,Varun Dutt,C,L4
47,CS-304,Formal Languages and Automata Theory,3-0-0-3,"Jinesh C.
Machchhar",E,
48,CS-309,Information and Database Systems,4,Rohit Saluja,G,L5
49,CS-520,Introduction to Quantum Computing,2-0-1-3,Prateek Vishnoi,G,L1
50,CS-549,Performance Analysis of Computer Networks,3-0-0-3,Sreelkashmi,B,
51,CS-671,Deep Learning and Applications,3-1-0-4,Aditya Nigam,A,
52,CS-673,Advanced Computer Vision,4,Dinesh Singh and Rohit Saluja,D,L2
53,CS-XXX,Randomized Algorithms,4-0-0-4,Gaurav sood,D,
54,CS-XXX,Introduction to Quantum Computing,,Dr. Prateek,D,
55,CY-100-2,Preparatory Chemistry II,3-1-0-4,Indu Bala,,
56,CY-202P,Organic Chemistry Laboratory,0-0-4-2,Indu Bala,,L3
57,CY-203P,Inorganic Chemistry Laboratory,0-0-4-2,Prem Felix Siril,,L5
